---STARTING NEW SECTION;SETTINGS
background:BLACK
---STARTING NEW SECTION;ENTRANCES
default;0;416
start;32;416
---STARTING NEW SECTION;CHARACTERS
---STARTING NEW SECTION;SPECIALS
scrollBound;160;96;32;32;top
scrollBound;1408;544;32;32;bottom
scrollBound;1152;544;32;32;bottom
scrollBound;928;544;32;32;bottom
scrollBound;608;544;32;32;bottom
scrollBound;192;544;32;32;bottom
scrollBound;-160;320;32;32;left
hurtObject;704;608;1280;32;1000
scrollBound;1792;544;32;32;bottom
scrollBound;2080;544;32;32;bottom
scrollBound;2336;544;32;32;bottom
hurtObject;2624;288;3200;32;1000
scrollBound;3008;224;32;32;bottom
scrollBound;2592;224;32;32;bottom
scrollBound;3328;224;32;32;bottom
scrollBound;3520;224;32;32;bottom
scrollBound;3936;224;32;32;bottom
scrollBound;4160;224;32;32;bottom
scrollBound;4480;224;32;32;bottom
scrollBound;4736;224;32;32;bottom
scrollBound;5056;224;32;32;bottom
movingPlatform;4800;0;64;32;length:2;style:darkOffice;node:4800:0
---STARTING NEW SECTION;TILES
-64;416;32;32;true;false;false;false
-32;416;32;32;true;false;false;false
0;416;32;32;true;false;false;false
32;416;32;32;true;false;false;false
64;416;32;32;true;false;false;false
96;416;32;32;true;false;false;false
128;416;32;32;true;false;false;false
160;416;32;32;true;false;false;false
192;416;32;32;true;false;false;false
224;416;32;32;true;false;false;false
256;416;32;32;true;false;false;false
288;416;32;32;true;false;false;false
320;416;32;32;true;false;false;false
352;416;32;32;true;false;false;false
384;416;32;32;true;false;false;false
416;416;32;32;true;false;false;false
448;416;32;32;true;false;false;false
480;416;32;32;true;false;false;false
-96;288;32;32;false;false;false;true
-96;320;32;32;false;false;false;true
-96;352;32;32;false;false;false;true
-96;384;32;32;false;false;false;true
-96;256;32;32;false;false;false;true
-64;224;32;32;false;true;false;false
-32;224;32;32;false;true;false;false
0;224;32;32;false;true;false;false
32;224;32;32;false;true;false;false
64;224;32;32;false;true;false;false
96;224;32;32;false;true;false;false
128;224;32;32;false;true;false;false
160;224;32;32;false;true;false;false
192;224;32;32;false;true;false;false
224;224;32;32;false;true;false;false
256;224;32;32;false;true;false;false
288;224;32;32;false;true;false;false
320;224;32;32;false;true;false;false
352;224;32;32;false;true;false;false
384;224;32;32;false;true;false;true
384;192;32;32;false;false;false;true
416;160;32;32;false;true;false;true
448;128;32;32;false;true;false;false
512;384;32;32;true;false;true;false
544;352;32;32;true;false;true;false
576;352;32;32;true;false;false;false
608;352;32;32;true;false;false;false
640;320;32;32;true;false;true;false
480;128;32;32;false;true;false;false
512;128;32;32;false;true;false;false
544;128;32;32;false;true;false;false
576;128;32;32;false;true;false;false
608;128;32;32;false;true;false;false
640;128;32;32;false;true;false;false
672;128;32;32;false;true;false;false
704;128;32;32;false;true;false;false
736;128;32;32;false;true;false;false
768;128;32;32;false;true;false;false
800;128;32;32;false;true;false;false
832;128;32;32;false;true;false;false
864;128;32;32;false;true;false;false
896;128;32;32;false;true;false;false
928;128;32;32;false;true;false;false
960;128;32;32;false;true;false;false
992;128;32;32;false;true;false;false
1024;128;32;32;false;true;false;false
1056;128;32;32;false;true;false;false
1088;128;32;32;false;true;false;false
1120;128;32;32;false;true;false;false
1152;128;32;32;false;true;false;false
1184;128;32;32;false;true;false;false
1216;128;32;32;false;true;false;false
1248;128;32;32;false;true;false;false
1280;128;32;32;false;true;false;false
1312;128;32;32;false;true;false;false
1344;128;32;32;false;true;false;false
1376;128;32;32;false;true;false;false
1408;128;32;32;false;true;false;false
1440;128;32;32;false;true;false;false
1472;128;32;32;false;true;false;false
1504;128;32;32;false;true;false;false
1536;128;32;32;false;true;false;false
1568;128;32;32;false;true;false;false
1600;128;32;32;false;true;false;false
1344;320;32;32;true;false;true;false
1376;320;32;32;true;false;false;false
1408;320;32;32;true;false;false;false
1440;320;32;32;true;false;false;false
1472;320;32;32;true;false;false;true
1472;352;32;32;false;false;false;true
1472;384;32;32;false;false;false;true
1472;416;32;32;false;false;false;true
1472;448;32;32;false;false;false;true
1472;480;32;32;false;false;false;true
1472;512;32;32;false;false;false;true
1472;544;32;32;false;false;false;true
1344;544;32;32;false;false;true;false
1344;512;32;32;false;false;true;false
1344;480;32;32;false;false;true;false
1344;448;32;32;false;false;true;false
1344;416;32;32;false;false;true;false
1344;384;32;32;false;false;true;false
1344;352;32;32;false;false;true;false
1088;352;32;32;false;false;true;false
1088;384;32;32;false;false;true;false
1088;416;32;32;false;false;true;false
1088;448;32;32;false;false;true;false
1088;480;32;32;false;false;true;false
1088;512;32;32;false;false;true;false
1088;544;32;32;false;false;true;false
896;352;32;32;false;false;true;false
896;384;32;32;false;false;true;false
896;416;32;32;false;false;true;false
896;448;32;32;false;false;true;false
896;480;32;32;false;false;true;false
896;512;32;32;false;false;true;false
896;544;32;32;false;false;true;false
768;352;32;32;false;false;true;false
768;384;32;32;false;false;true;false
768;416;32;32;false;false;true;false
768;448;32;32;false;false;true;false
768;480;32;32;false;false;true;false
768;512;32;32;false;false;true;false
768;544;32;32;false;false;true;false
672;320;32;32;true;false;false;false
704;320;32;32;true;false;false;true
704;352;32;32;false;false;false;true
704;384;32;32;false;false;false;true
704;416;32;32;false;false;false;true
704;448;32;32;false;false;false;true
704;480;32;32;false;false;false;true
704;512;32;32;false;false;false;true
704;544;32;32;false;false;false;true
768;320;32;32;true;false;true;false
800;320;32;32;true;false;false;true
800;352;32;32;false;false;false;true
800;384;32;32;false;false;false;true
800;416;32;32;false;false;false;true
800;448;32;32;false;false;false;true
800;480;32;32;false;false;false;true
800;512;32;32;false;false;false;true
800;544;32;32;false;false;false;true
960;352;32;32;false;false;false;true
960;384;32;32;false;false;false;true
960;416;32;32;false;false;false;true
960;448;32;32;false;false;false;true
960;480;32;32;false;false;false;true
960;512;32;32;false;false;false;true
960;544;32;32;false;false;false;true
1184;352;32;32;false;false;false;true
1184;384;32;32;false;false;false;true
1184;416;32;32;false;false;false;true
1184;448;32;32;false;false;false;true
1184;480;32;32;false;false;false;true
1184;512;32;32;false;false;false;true
1184;544;32;32;false;false;false;true
1184;320;32;32;true;false;false;true
1152;320;32;32;true;false;false;false
1120;320;32;32;true;false;false;false
1088;320;32;32;true;false;true;false
896;320;32;32;true;false;true;false
928;320;32;32;true;false;false;false
960;320;32;32;true;false;false;true
1632;128;32;32;false;true;false;false
1664;128;32;32;false;true;false;false
1696;128;32;32;false;true;false;false
1728;128;32;32;false;true;false;false
1760;128;32;32;false;true;false;false
1792;128;32;32;false;true;false;false
1824;128;32;32;false;true;false;false
1664;320;32;32;true;false;true;false
1696;320;32;32;true;false;false;false
1728;320;32;32;true;false;false;false
1760;320;32;32;true;false;false;false
1792;320;32;32;true;false;false;false
1824;320;32;32;true;false;false;true
1824;352;32;32;false;false;false;true
1824;384;32;32;false;false;false;true
1824;416;32;32;false;false;false;true
1824;448;32;32;false;false;false;true
1824;480;32;32;false;false;false;true
1824;512;32;32;false;false;false;true
1824;544;32;32;false;false;false;true
1664;352;32;32;false;false;true;false
1664;384;32;32;false;false;true;false
1664;416;32;32;false;false;true;false
1664;448;32;32;false;false;true;false
1664;480;32;32;false;false;true;false
1664;512;32;32;false;false;true;false
1664;544;32;32;false;false;true;false
960;576;32;32;false;false;false;true
896;576;32;32;false;false;true;false
768;576;32;32;false;false;true;false
1088;576;32;32;false;false;true;false
1344;576;32;32;false;false;true;false
1664;576;32;32;false;false;true;false
1472;576;32;32;false;false;false;true
1184;576;32;32;false;false;false;true
800;576;32;32;false;false;false;true
704;576;32;32;false;false;false;true
1824;576;32;32;false;false;false;true
1920;576;32;32;false;false;true;false
1920;544;32;32;false;false;true;false
1920;512;32;32;false;false;true;false
1920;480;32;32;false;false;true;false
1920;448;32;32;false;false;true;false
1920;416;32;32;false;false;true;false
1920;384;32;32;false;false;true;false
1920;352;32;32;false;false;true;false
1920;320;32;32;true;false;true;false
1952;320;32;32;true;false;false;false
1984;320;32;32;true;false;false;false
2016;288;32;32;true;false;true;false
2048;224;32;32;true;false;true;false
2048;256;32;32;false;false;true;false
2080;192;32;32;false;false;true;false
1856;128;32;32;false;true;false;true
1888;96;32;32;false;true;false;true
1888;64;32;32;false;false;false;true
1920;32;32;32;false;true;false;true
1920;0;32;32;false;false;false;true
1920;-32;32;32;false;false;false;true
1952;-64;32;32;false;true;false;true
2112;96;32;32;false;false;true;false
2112;64;32;32;false;false;true;false
2112;32;32;32;false;false;true;false
2112;0;32;32;true;false;true;false
2144;0;32;32;true;false;false;false
2176;0;32;32;true;false;false;false
2208;0;32;32;true;false;false;false
2240;0;32;32;true;false;false;false
2272;0;32;32;true;false;false;false
1952;-96;32;32;false;false;false;true
1952;-128;32;32;false;false;false;true
1952;-160;32;32;false;false;false;true
1984;-192;32;32;false;true;false;false
2048;-192;32;32;false;true;false;false
2080;-192;32;32;false;true;false;false
2112;-192;32;32;false;true;false;false
2144;-192;32;32;false;true;false;false
2176;-192;32;32;false;true;false;false
2208;-192;32;32;false;true;false;false
2240;-192;32;32;false;true;false;false
2272;-192;32;32;false;true;false;false
2016;-192;32;32;false;true;false;false
2304;-192;32;32;false;true;false;false
2336;-192;32;32;false;true;false;false
2368;-192;32;32;false;true;false;false
2400;-192;32;32;false;true;false;false
2432;-192;32;32;false;true;false;false
2464;-192;32;32;false;true;false;false
2496;-192;32;32;false;true;false;false
2528;-192;32;32;false;true;false;true
2304;0;32;32;true;false;false;false
2336;0;32;32;true;false;false;false
2368;0;32;32;true;false;false;false
2400;0;32;32;true;false;false;false
2432;0;32;32;true;false;false;false
2464;0;32;32;true;false;false;false
2496;0;32;32;true;false;false;false
2528;0;32;32;true;false;false;false
2560;0;32;32;true;false;false;false
2592;0;32;32;true;false;false;false
2624;0;32;32;true;false;false;true
2624;32;32;32;false;false;false;true
2624;64;32;32;false;false;false;true
